data_split,zone,samples,mae,rmse,rounded_mae,exact_accuracy,within_one_accuracy,persistence_mae,projection_mae,persistence_exact_accuracy,persistence_within_one_accuracy,projection_exact_accuracy,projection_within_one_accuracy,total_count_mae,persistence_total_count_mae,projection_total_count_mae
train_validation,all,696,0.781765,1.052119,0.741379,0.41954,0.873563,0.961207,0.918103,0.331897,0.78592,0.375,0.774425,1.252979,1.478448,1.478448
train_validation,left_sidewalk,232,0.731131,0.989053,0.693965,0.431034,0.896552,0.939655,0.939655,0.349138,0.771552,0.383621,0.74569,,,
train_validation,center_walkway,232,0.809984,1.058092,0.767241,0.396552,0.866379,0.913793,0.849138,0.353448,0.801724,0.396552,0.801724,,,
train_validation,right_sidewalk,232,0.80418,1.105929,0.762931,0.431034,0.857759,1.030172,0.965517,0.293103,0.784483,0.344828,0.775862,,,
test,all,180,1.010274,1.295942,1.005556,0.305556,0.761111,1.033333,1.011111,0.288889,0.744444,0.283333,0.777778,1.515643,1.4,1.4
test,left_sidewalk,60,1.116452,1.366519,1.116667,0.266667,0.683333,1.083333,1.083333,0.25,0.716667,0.2,0.783333,,,
test,center_walkway,60,0.948366,1.309607,0.95,0.366667,0.783333,1.033333,0.966667,0.316667,0.75,0.366667,0.783333,,,
test,right_sidewalk,60,0.966004,1.206626,0.95,0.283333,0.816667,0.983333,0.983333,0.3,0.766667,0.283333,0.766667,,,
