scope,samples,gnn_mae,gnn_rmse,gnn_exact_accuracy,gnn_within_one_accuracy,gnn_total_count_mae,persistence_mae,persistence_rmse,persistence_exact_accuracy,persistence_within_one_accuracy,persistence_total_count_mae,pixel_projection_mae,pixel_projection_rmse,pixel_projection_exact_accuracy,pixel_projection_within_one_accuracy,pixel_projection_total_count_mae,ground_projection_mae,ground_projection_rmse,ground_projection_exact_accuracy,ground_projection_within_one_accuracy,ground_projection_total_count_mae
test_every_0.2s,1800,0.652734,0.990899,0.496111,0.878889,1.469005,0.758889,1.128421,0.448333,0.837778,1.473333,0.655556,1.004435,0.492222,0.878333,1.473333,0.653333,1.0,0.488889,0.883333,1.473333
test_integer_seconds,360,0.597439,0.942986,0.536111,0.891667,1.402911,0.75,1.113054,0.452778,0.836111,1.4,0.605556,0.963212,0.530556,0.888889,1.4,0.627778,0.986013,0.516667,0.880556,1.4
