sample_second,video_time_s,frame_index,track_id,label,confidence,bbox_x,bbox_y,bbox_width,bbox_height,center_x,center_y,area_px,displacement_px,speed_px_s,track_age_s
30.0,30.015,916,72,person,0.2495,1859,1201,90,226,1904.0,1314.0,20340,2.24,2.24,7.34
30.0,30.015,916,75,person,0.2393,1716,1297,123,143,1777.5,1368.5,17589,0.0,0.0,0.164
30.0,30.015,916,79,person,0.484,1728,959,93,265,1774.5,1091.5,24645,0.0,0.0,2.818
30.0,30.015,916,83,person,0.4839,1419,1153,81,287,1459.5,1296.5,23247,11.67,11.67,8.913
30.0,30.015,916,84,person,0.3498,694,1164,123,276,755.5,1302.0,33948,2.55,2.55,2.163
30.0,30.015,916,91,person,0.2142,1662,836,89,241,1706.5,956.5,21449,0.0,0.0,0.295
30.0,30.015,916,93,person,0.3519,1151,1261,133,179,1217.5,1350.5,23807,45.98,45.98,2.851
30.0,30.015,916,96,person,0.7469,1589,1109,123,331,1650.5,1274.5,40713,77.4,77.4,5.177
30.0,30.015,916,104,person,0.4731,1410,943,92,237,1456.0,1061.5,21804,64.38,64.38,2.294
30.0,30.015,916,106,person,0.3827,91,1017,110,254,146.0,1144.0,27940,5.52,5.52,1.409
30.0,30.015,916,108,person,0.5128,1059,1186,108,254,1113.0,1313.0,27432,0.0,0.0,0.983
30.0,30.015,916,112,person,0.4033,2143,818,67,181,2176.5,908.5,12127,0.0,0.0,0.688
30.0,30.015,916,113,person,0.3583,1501,1100,72,293,1537.0,1246.5,21096,0.0,0.0,0.426
31.0,30.998,946,13,person,0.2848,1964,1184,104,256,2016.0,1312.0,26624,53.15,53.15,18.678
31.0,30.998,946,34,person,0.4959,311,1120,142,320,382.0,1280.0,45440,56.4,28.2,14.614
31.0,30.998,946,49,person,0.4104,813,1165,105,275,865.5,1302.5,28875,6.52,6.52,2.916
31.0,30.998,946,75,person,0.2068,1717,1306,146,134,1790.0,1373.0,19564,0.0,0.0,0.098
31.0,30.998,946,79,person,0.5386,1726,1004,96,270,1774.0,1139.0,25920,47.5,47.5,3.801
31.0,30.998,946,83,person,0.5858,1468,1104,109,331,1522.5,1269.5,36079,68.54,68.54,9.896
31.0,30.998,946,84,person,0.4061,695,1169,120,271,755.0,1304.5,32520,2.55,2.55,3.146
31.0,30.998,946,96,person,0.6052,1586,1071,109,308,1640.5,1225.0,33572,50.5,50.5,6.16
31.0,30.998,946,104,person,0.726,1346,957,92,286,1392.0,1100.0,26312,74.69,74.69,3.277
31.0,30.998,946,106,person,0.3224,90,1020,113,265,146.5,1152.5,29945,8.51,8.51,2.392
31.0,30.998,946,108,person,0.3238,957,1261,105,179,1009.5,1350.5,18795,110.08,110.08,1.966
31.0,30.998,946,109,person,0.2773,1111,1147,102,192,1162.0,1243.0,19584,0.0,0.0,1.966
31.0,30.998,946,110,person,0.4787,1208,1122,114,318,1265.0,1281.0,36252,0.0,0.0,1.933
31.0,30.998,946,115,person,0.4107,1485,864,88,228,1529.0,978.0,20064,0.0,0.0,0.885
31.0,30.998,946,117,person,0.3098,207,1245,128,195,271.0,1342.5,24960,0.0,0.0,0.524
